Name,Location,Gender
PLC 503,"44.04403264, -123.07838941",N
PLC 601,"44.04398832, -123.07840014",N
PLC 603,"44.04402879, -123.07838672",N
PLC 701,"44.04398254, -123.07838672",N
PLC 703,"44.04402301, -123.07839209",N
PLC 801,"44.04398639, -123.07839477",N
PLC 803,"44.04402686, -123.07839477",N
PLC 901,"44.04399025, -123.07838807",N
PLC 903,"44.04402397, -123.07838672",N
Schnitzer Museum of Art 124A,"44.04413852, -123.07716647",N
Schnitzer Museum of Art 106,"44.04440830, -123.07713152",N
Schnitzer Museum of Art 218B,"44.04415685, -123.07713418",W
Susan Campbell Hall 129,"44.04402970, -123.07634157",W
Susan Campbell Hall 144,"44.04399501, -123.07615781",M
Susan Campbell Hall 229,"44.04403548, -123.07633889",W
Susan Campbell Hall 244,"44.04398152, -123.07615915",M
Susan Campbell Hall 329,"44.04403259, -123.07633889",N
Susan Campbell Hall 344,"44.04398923, -123.07615512",W
Johnson Hall 017,"44.04502877, -123.07571201",M
Johnson Hall 006A,"44.04514585, -123.07566774",N
Johnson Hall 006,"44.04519501, -123.07568048",W
Johnson Hall 201A,"44.04501291, -123.07586760",N
Johnson Hall 223,"44.04502880, -123.07585687",N
Johnson Hall 212,"44.04519647, -123.07565164",W
Johnson Hall 214,"44.04518443, -123.07560268",M
Friendly Hall 026B,"44.04580635, -123.07517481",W
Friendly Hall 026C,"44.04579093, -123.07518017",M
Friendly Hall 103,"44.04572926, -123.07515469",N
Friendly Hall 103A,"44.04575431, -123.07516676",W
Friendly Hall 111,"44.04593354, -123.07509969",M
Friendly Hall 207,"44.04575431, -123.07509701",W
Friendly Hall 218,"44.04592872, -123.07511713",M
Friendly Hall 315,"44.04592969, -123.07509967",W
